sample,fastq_1
sample-LH225,/data/leila/data-to-test-Metaamr/LH225.fastq.gz
sample-LH040,/data/leila/data-to-test-Metaamr/LH040.fastq.gz
sample-LH070,/data/leila/data-to-test-Metaamr/LH070.fastq.gz
sample-LH085,/data/leila/data-to-test-Metaamr/LH085.fastq.gz


